ID	Label	Bipartito
614	Micronisus gabar	0
615	Milvus migrans	0
616	Necrosyrtes monachus	0
617	Neophron percnopterus	0
618	Oroaetus isidori	0
619	Parabuteo unicinctus	0
620	Pernis apivorus	0
621	Spilornis cheela	0
622	Torgos tracheliotus	0
623	Trigonoceps occipitalis	0
624	Acipenser oxyrinchus	0
625	Acropora spp.	0
626	Acropora aculeus	0
627	Acropora cervicornis	0
628	Acropora cytherea	0
629	Acropora dendrum	0
630	Acropora digitifera	0
631	Acropora echinata	0
632	Acropora florida	0
633	Acropora granulosa	0
634	Acropora humilis	0
635	Acropora hyacinthus	0
636	Acropora latistella	0
637	Acropora microclados	0
638	Acropora nasuta	0
639	Acropora nobilis	0
640	Acropora palifera	0
641	Acropora spicifera	0
642	Acropora variabilis	0
643	Acropora vaughani	0
644	Anacropora spp.	0
645	Montipora spp.	0
646	Montipora aequituberculata	0
647	Montipora capricornis	0
648	Montipora nodosa	0
649	Saara hardwickii	0
650	Uromastyx spp.	0
651	Uromastyx acanthinura	0
652	Uromastyx aegyptia	0
653	Uromastyx benti	0
654	Uromastyx dispar	0
655	Uromastyx geyri	0
656	Uromastyx ocellata	0
657	Uromastyx ornata	0
658	Agaricia agaricites	0
659	Coeloseris mayeri	0
660	Gardineroseris spp.	0
661	Leptoseris foliosa	0
662	Pachyseris spp.	0
663	Pachyseris rugosa	0
664	Pavona spp.	0
665	Pavona cactus	0
666	Pavona clavus	0
667	Pavona decussata	0
668	Pavona gigantea	0
669	Pavona maldivensis	0
670	Pavona varians	0
671	Agave spp.	0
672	Agave victoriae-reginae	0
673	Alligatoridae spp.	0
674	Alligator mississippiensis	0
675	Caiman spp.	0
676	Caiman crocodilus	0
677	Caiman crocodilus crocodilus	0
678	Caiman crocodilus fuscus	0
679	Paleosuchus spp.	0
680	Paleosuchus palpebrosus	0
681	Paleosuchus trigonatus	0
682	Galanthus spp.	0
683	Galanthus elwesii	0
684	Galanthus ikariae	0
685	Galanthus lagodechianus	0
686	Galanthus nivalis	0
687	Galanthus plicatus	0
688	Galanthus transcaucasicus	0
689	Galanthus woronowii	0
690	Sternbergia spp.	0
691	Sternbergia greuteriana	0
692	Sternbergia lutea	0
693	Sternbergia sicula	0
694	Ambystoma mexicanum	0
695	Anas formosa	0
696	Branta ruficollis	0
697	Coscoroba coscoroba	0
698	Cygnus melancoryphus	0
699	Dendrocygna arborea	0
700	Oxyura leucocephala	0
701	Sarkidiornis melanotos	0
702	Antipathes spp.	0
703	Antipathes densa	0
704	Cirrhipathes anguina	0
705	Stichopathes gracilis	0
706	Aotus spp.	0
707	Aotus nancymaae	0
708	Aotus trivirgatus	0
709	Aotus vociferans	0
710	Pachypodium spp.	0
711	Pachypodium bispinosum	0
712	Pachypodium brevicaule	0
713	Pachypodium densiflorum	0
714	Pachypodium geayi	0
715	Pachypodium horombense	0
716	Pachypodium lamerei	0
717	Pachypodium lealii	0
718	Pachypodium namaquanum	0
719	Pachypodium rosulatum	0
720	Pachypodium rutenbergianum	0
721	Pachypodium sofiense	0
722	Pachypodium succulentum	0
723	Panax quinquefolius	0
724	Arapaima gigas	0
725	Araucaria araucana	0
726	Allobates femoralis	0
727	Ceropegia spp.	0
728	Ceropegia africana	0
729	Ceropegia armandii	0
730	Ceropegia cimiciodora	0
731	Ceropegia conrathii	0
732	Ceropegia distincta	0
733	Ceropegia fortuita	0
734	Ceropegia fusca	0
735	Ceropegia linearis	0
736	Ceropegia occulta	0
737	Ceropegia pachystelma	0
738	Ceropegia sandersonii	0
739	Ceropegia stentiae	0
740	Ceropegia woodii	0
741	Alouatta spp.	0
742	Alouatta pigra	0
743	Ateles spp.	0
744	Ateles belzebuth	0
745	Ateles fusciceps	0
746	Ateles geoffroyi	0
747	Ateles paniscus	0
748	Podophyllum spp.	0
749	Podophyllum hexandrum	0
750	Boidae spp.	0
751	Calabaria reinhardtii	0
752	Candoia spp.	0
753	Candoia aspera	0
754	Candoia bibroni	0
755	Candoia carinata	0
756	Corallus spp.	0
757	Corallus caninus	0
758	Corallus cookii	0
759	Corallus hortulanus	0
760	Epicrates spp.	0
761	Epicrates angulifer	0
762	Epicrates cenchria	0
763	Epicrates maurus	0
764	Epicrates striatus	0
765	Eryx johnii	0
766	Eryx miliaris	0
767	Eunectes murinus	0
768	Eunectes notaeus	0
