ID	Label
843	John Carpenter's Escape from L.A.
844	Basic
845	Andrei Rublev
846	Anatomy
847	Peeping Tom
848	The Emperor's Club
849	Booty Call
850	Chopper
851	Munna Bhai M.B.B.S.
852	The Testaments: Of One Fold and One Shepherd
853	Flipper
854	K-9
855	X2
856	Gone to Earth
857	Bad News Bears
858	The Farmer's Wife
859	Knock Knock
860	Vanishing Point
861	The Miracle of Morgan's Creek
862	Rappin'
863	Silver City
864	Rock 'n' Roll High School
865	Savior
866	An Alan Smithee Film: Burn Hollywood Burn
867	Dirty Rotten Scoundrels
868	What's Love Got to Do with It
869	It's a Gift
870	Sybil
871	Darkness
872	The Russians Are Coming, the Russians Are Coming
873	Bed & Board
874	Who's Harry Crumb?
875	Charlie's Angels
876	Ilsa: She-Wolf of the SS
877	Love Field
878	My Blue Heaven
879	Mermaids
880	Rabbits
881	Willy Wonka & the Chocolate Factory
882	Beauty and the Beast
883	2010: The Year We Make Contact
884	From Time to Time
885	Our Town
886	Clash!! 10,000,000,000 Powerful Warriors
887	Clue
888	The Little Rascals
889	Laurel Canyon
890	The Swan
891	Marie Antoinette
892	A Sound of Thunder
893	John Carpenter's The Thing
894	The Stepfather
895	Kentucky
896	Personal History, Adventures, Experience, and Observation of David Copperfield the Younger
897	Wake Island
898	Battle of the Bulge
899	Quintet
900	Mary, Queen of Scots
901	The Bishop's Wife
902	Flash Gordon
903	L'homme du train
904	Women in Love
905	Ransom
906	Tales from the Crypt
907	Jude
908	Mr. Majestyk
909	Hooper
910	Cecil B. Demented
911	Ecstasy
912	Point of No Return
913	Donovan's Reef
914	The Red Shoes
915	Frankenstein
916	Ghost
917	Twin Peaks: Fire Walk With Me
918	Elizabeth: The Golden Age
919	Wilde
920	Dungeons & Dragons
921	Perfect Strangers
922	The Incredible Mr. Limpet
923	Impromptu
924	Pokamon: Legend Comes to Life
925	High Fidelity
926	Go
927	Cobra
928	The Devil's Advocate
929	Clean
930	Tomcats
931	Private's Progress
932	You've Got Mail
933	Predator
934	Whiteout
935	M
936	Edward, My Son
937	Mr. Saturday Night
938	Hustle
