Actor;Movies
Hal Holbrook;Cats Don't Dance|Wall Street|The Firm|John Carpenter's The Fog|Hercules|Julia|Midway
Rae Dawn Chong;Tales from the Darkside: The Movie|Commando
Imelda Staunton;Crush|Sense and Sensibility|Harry Potter and the Order of the Phoenix|Peter's Friends
Diane Lane;Jack|Chaplin|Under the Tuscan Sun|The Cotton Club|My Dog Skip|Unfaithful|Ladies and Gentlemen, The Fabulous Stains
Paul Rudd;P.S.|Romeo + Juliet|Anchorman: The Legend of Ron Burgundy
Edward Furlong;Detroit Rock City|Terminator 2: Judgment Day
Lawrence Makoare;The Lord of the Rings: The Fellowship of the Ring|The Lord of the Rings: The Return of the King
Lumi Cavazos;Bottle Rocket|In the Time of the Butterflies
Bubba Smith;Police Academy|Police Academy 2: Their First Assignment
Christine Taylor;Dodgeball: A True Underdog Story|The Craft|Party Girl
Steve Jones;Ladies and Gentlemen, The Fabulous Stains|Ladies and Gentlemen, The Fabulous Stains
Kathryn Morris;The Contender|Minority Report
Jeff Goldblum;The Big Chill|Independence Day|Cats & Dogs|The Lost World: Jurassic Park|Jurassic Park|The Fly
Michael Clarke Duncan;Friday|Sin City|The Green Mile|Armageddon|The Island|Delgo|Planet of the Apes|Daredevil
Yee Jee Tso;Antitrust|Doctor Who
Jon Finch;Lady Caroline Lamb|Kingdom of Heaven|Macbeth
Jeff Bennett;Lady and the Tramp II: Scamp's Adventure|Mickey's Twice Upon a Christmas|Atlantis: Milo's Return
Dana Wynter;Sink the Bismarck!|Airport
Ethel Barrymore;The Farmer's Daughter|Pinky
Tim McInnerny;Blackadder: Back & Forth|Richard III|Notting Hill
James Shigeta;Lost Horizon|Brother
C. Thomas Howell;E.T. the Extra-Terrestrial|Gettysburg
Stephen Lang;Project X|Manhunter|Gettysburg
Erik Rhodes;Top Hat|Top Hat
Audrey Tautou;L'Auberge espagnole|Dirty Pretty Things
Ron Silver;Mr. Saturday Night|Ali
Jason Alexander;North|Jacob's Ladder|The Hunchback of Notre Dame
Sammy Davis, Jr.;That's Dancing!|Ocean's Eleven
Robert Stephens;Romeo and Juliet|Henry V|Morgan: A Suitable Case for Treatment
Maaya Sakamoto;Final Fantasy VII: Advent Children|Escaflowne
Tcheky Karyo;Wing Commander|The Patriot|Addicted to Love|Bad Boys
Peter Firth;Lifeforce|Aces High
Carina Lau;2046|He's a Woman, She's a Man
Debbie Reynolds;Rugrats in Paris: The Movie|How the West Was Won|In & Out
Donald Sutherland;National Lampoon's Animal House|Buffy the Vampire Slayer|Don't Look Now|Cold Mountain|JFK|Fallen|Outbreak|1900|Kelly's Heroes|Backdraft|Panic|Six Degrees of Separation|MASH|Final Fantasy: The Spirits Within
Rip Torn;Men in Black|Dodgeball: A True Underdog Story|The Insider|Hercules|Cross Creek|Eulogy|By Dawn's Early Light
Denholm Elliott;Percy|The Boys from Brazil|Watership Down|The Cruel Sea|King Rat
Pamela Brown;I Know Where I'm Going!|Richard III
Timothy Olyphant;The Broken Hearts Club: A Romantic Comedy|Gone in Sixty Seconds|Go|Rock Star
Michael Moore;The Big One|Roger & Me|Fahrenheit 9/11|Fahrenheit 9/11Â½
James LeGros;Bad Girls|Point Break|Singles
Eric Bogosian;Under Siege 2: Dark Territory|Ararat
Michael Richards;UHF|Problem Child
Tomas Milian;King David|Traffic
John Ritter;North|Tadpole|Problem Child|The Dreamer of Oz: The L. Frank Baum Story|Panic|It
James Neill;King of Kings|King of Kings
Adrien Brody;King of the Hill|The Thin Red Line|King Kong|The Village|The Singing Detective
Mark Rolston;Rush Hour|Aliens
Dale Fuller;Greed|Greed
Queen Latifah;Taxi|Sphere|The Muppets' Wizard of Oz|Barbershop 2: Back in Business|Chicago
Zygmunt Malanowicz;Knife in the Water|Knife in the Water
Tom Hanks;Splash|Philadelphia|That Thing You Do!|Apollo 13|Radio Flyer|The Green Mile|You've Got Mail|The 'Burbs
David Hyde Pierce;Full Frontal|A Bug's Life|Nixon
Jeanne Crain;Pinky|State Fair
Miguel Ferrer;Hot Shots! Part Deux|Blank Check|Point of No Return|Revenge
Lauren Holly;Dragon: The Bruce Lee Story|Dumb & Dumber|Sabrina
John Le Mesurier;The Fiendish Plot of Dr. Fu Manchu|Jabberwocky
Sergio Rubini;The Talented Mr. Ripley|Nirvana
Giovanni Ribisi;That Thing You Do!|Boiler Room|Heaven|Gone in Sixty Seconds|Cold Mountain|Basic|Lost in Translation|The Gift
Carolyn Jones;House of Wax|How the West Was Won
Lorraine Gary;1941|Jaws
Cyril Cusack;1984|Gone to Earth
Thelma Ritter;Pillow Talk|Titanic|Perfect Strangers|The Misfits|How the West Was Won
Juliette Lewis;What's Eating Gilbert Grape|Strange Days|Starsky & Hutch|Cape Fear|National Lampoon's Christmas Vacation
Ticky Holgado;Uranus|Delicatessen
Robert Guillaume;The Lion King II: Simba's Pride|Lean on Me
Jonathan Frakes;Star Trek: Insurrection|Star Trek: First Contact|Star Trek Nemesis|Star Trek: Generations
Talisa Soto;Ballistic: Ecks vs. Sever|Mortal Kombat|Mortal Kombat: Annihilation
Chris Penn;Rush Hour|To Wong Foo, Thanks for Everything! Julie Newmar|Beethoven's 2nd|The Funeral
James D'Arcy;Master and Commander: The Far Side of the World|Exorcist: The Beginning
Susan Tyrrell;Wizards|Flesh & Blood
Colleen Camp;My Blue Heaven|Die Hard: With a Vengeance|Rat Race|Police Academy 2: Their First Assignment|Clue
Laurence Fishburne;Mystic River|Assault on Precinct 13|What's Love Got to Do with It|Hearts of Darkness: A Filmmakers's Apocalypse|Event Horizon|The Cotton Club
Zero Mostel;The Producers|Watership Down
Vittorio Gassman;Sleepers|Quintet
Anne Meara;Heavy Weights|The Boys from Brazil|Amy Stiller's Breast|Fame
Jennifer Connelly;Hulk|Labyrinth|Pollock
Edward Fox;Lost in Space|Gandhi|Battle of Britain|All the Queen's Men
Annabeth Gish;SLC Punk!|Nixon|Double Jeopardy
Shirley Henderson;Intermission|Trainspotting
Sting;Dune|Quadrophenia
Michael J. Fox;The American President|Homeward Bound: The Incredible Journey|Atlantis: The Lost Empire
Scott Caan;Boiler Room|Bongwater|Enemy of the State|Nowhere|Ocean's Twelve|Black and White
Elaine Hendrix;What the #$*! Do We Know!?|Romy and Michele's High School Reunion
Michel Piccoli;From Time to Time/De Temps en Temps|Topaz|Atlantic City|Contempt|Divine Intervention
Nancy Allen;The Philadelphia Experiment|1941
Saul Rubinek;The Contender|Santa's Slay
Kenneth More;Sink the Bismarck!|Genevieve|Battle of Britain|Scrooge|The Longest Day
Angell Conwell;The Wash|Baby Boy
Ed Harris;Walker|State of Grace|The Rock|Apollo 13|Sweet Dreams|Nixon|The Firm|Pollock
Frankie Muniz;My Dog Skip|Agent Cody Banks 2: Destination London
Luis Guzman;Magnolia|Lemony Snicket's A Series of Unfortunate Events|Anger Management|Snake Eyes|Carlito's Way
Roger Livesey;I Know Where I'm Going!|The League of Gentlemen
Robin Shou;Mortal Kombat: Annihilation|Mortal Kombat
Guy Boyd;Caravan of Courage: An Ewok Adventure|Caravan of Courage: An Ewok Adventure
Brian Cox;Adaptation|Troy|X2|For Love of the Game|The Bourne Supremacy|Rushmore|Rob Roy|Manhunter|25th Hour|The Bourne Identity
Ben Affleck;Boiler Room|Armageddon|Dogma|Jersey Girl|Dazed and Confused|Daredevil|Pearl Harbor
Graham Greene;North|Maverick|The Green Mile|Die Hard: With a Vengeance
Maggie Smith;The Secret Garden|Harry Potter and the Goblet of Fire|Harry Potter and the Order of the Phoenix|Oh! What a Lovely War|Sister Act 2: Back in the Habit|Harry Potter and the Philosopher's Stone|Othello|Harry Potter and the Half-Blood Prince|Harry Potter and the Chamber of Secrets|Hook|Harry Potter and the Prisoner of Azkaban
Richard Todd;The Longest Day|Stage Fright|The Dam Busters
Kristen Bell;Spartan|Fanboys
John Lithgow;Rugrats in Paris: The Movie|Cliffhanger|Orange County|Twilight Zone: The Movie|Manhattan Project|Obsession|2010: The Year We Make Contact|Kinsey
Emma Thompson;Henry V|Howards End|Sense and Sensibility|Imagining Argentina|Harry Potter and the Order of the Phoenix|Junior|Harry Potter and the Prisoner of Azkaban|Impromptu|Peter's Friends
William H. Macy;Seabiscuit|Spartan|Sahara|Air Force One|Magnolia|Cellular|Mr. Holland's Opus|Panic|Fargo
David Keith;Sabretooth|Behind Enemy Lines
Kristen Wilson;Dungeons & Dragons|Dr. Dolittle 2|Dr. Dolittle 2
Ricky Nelson;Rio Bravo|Love and Kisses
Ioan Gruffudd;King Arthur|Fantastic Four|Titanic|Wilde
Chris Evans;Fantastic Four|Cellular
Brendan Gleeson;Kingdom of Heaven|Mission: Impossible II|Into the West|A.I.|Harry Potter and the Goblet of Fire|Lake Placid|The Village|Cold Mountain|Troy|Michael Collins
Embeth Davidtz;The Emperor's Club|Schindler's List|The Hole|Fallen|Matilda
Corey Feldman;National Lampoon's Last Resort|Stand by Me|The 'Burbs
Francis L. Sullivan;Oliver Twist|Joan of Arc
Gracy Singh;Lagaan: Once Upon a Time in India|Munna Bhai M.B.B.S.
Linda Bassett;East is East|East is East
Conrad Veidt;Casablanca|Contraband
Renoly Santiago;Daylight|Hackers
Greta Scacchi;Beyond the Sea|Presumed Innocent
Richard Lineback;Twister|Speed
Jerry Stiller;Amy Stiller's Breast|The Taking of Pelham One Two Three|Heavy Weights|The Lion King 1Â½
Timothy Busfield;Stripes|Sneakers|Revenge of the Nerds II: Nerds in Paradise
Terry Kiser;Weekend at Bernie's|Weekend at Bernie's II
Gerrit Graham;Child's Play 2|Pretty Baby
Himani Shivpuri;Khabi Khushi Kabhi Gham|Dilwale Dulhaniy Le Jayenge|Mujhse Dosti Karoge!
Trinidad Silva;El Norte|UHF
Paul L. Smith;Dune|Popeye
Michael Rispoli;Volcano|Snake Eyes|Rounders
Paulina Porizkova;Anna|Thursday
John Hawkes;Identity|Identity
Bibi Andersson;Persona|Wild Strawberries|Quintet|Scenes from a Marriage
Ralph Truman;Quo Vadis|Oliver Twist
Paul Dooley;Cars|Popeye
Lauren Tom;North|When a Man Loves a Woman|Nothing Lasts Forever|Batman Beyond: Return of the Joker
Irene Handl;I'm All Right Jack|Morgan: A Suitable Case for Treatment
Michael Chiklis;Fantastic Four|Soldier|Nixon
Matt Craven;Jacob's Ladder|Timeline|Crimson Tide|Assault on Precinct 13
David Cubitt;Alive|10.5
Robin Curtis;Star Trek III: The Search for Spock|Star Trek IV: The Voyage Home
Devon Murray;Harry Potter and the Half-Blood Prince|Harry Potter and the Philosopher's Stone|Harry Potter and the Chamber of Secrets|Harry Potter and the Order of the Phoenix|Harry Potter and the Goblet of Fire|Harry Potter and the Prisoner of Azkaban
Claire Bloom;Limelight|Daylight|Richard III|The Haunting
Richard Jenkins;Cheaper by the Dozen|The Man Who Wasn't There|Me, Myself & Irene|Shall We Dance?
Michael Kopelow;Point Break|Don't Tell Mom the Babysitter's Dead
Dennis Hopper;Speed|Hearts of Darkness: A Filmmakers's Apocalypse|The Trip|The Osterman Weekend|Easy Rider|Ticker|Out of the Blue|Super Mario Bros.
Julianna Margulies;Ghost Ship|Dinosaur
Clifton Powell;Rush Hour|Ray
George Peppard;Breakfast at Tiffany's|How the West Was Won|Tobruk
Bobcat Goldthwait;Medusa: Dare to Be Truthful|Police Academy|Hercules
Alun Armstrong;The Saint|Eragon
Pat Carroll;The Little Mermaid II: Return to the Sea|The Little Mermaid
Noah Emmerich;Miracle|Frequency|Cellular
Gong Li;Zhou Yu's Train|2046
Seth Green;Scooby-Doo 2: Monsters Unleashed|Enemy of the State|Austin Powers: Goldmember|America's Sweethearts|Can't Hardly Wait|Rat Race|It
Frayne Rosanoff;Python|Longshot
Angie Dickinson;Pay It Forward|Captain Newman, M.D.|Sabrina|Rio Bravo|Ocean's Eleven|Point Blank
Vladimir Mashkov;Behind Enemy Lines|Behind Enemy Lines
Kristen Stewart;Panic Room|Speak
Tony Lo Bianco;Jesus of Nazareth|The French Connection|F.I.S.T
Eric Roberts;Runaway Train|Doctor Who
Jay Mohr;Are We There Yet|Pay It Forward|Go
Jodi Lyn O'Keefe;The Crow: Salvation|She's All That
Tom Sizemore;Strange Days|Hustle|Enemy of the State|Paparazzi|Pearl Harbor|Point Break|Ticker|Heat|Red Planet
DeRay Davis;Barbershop|Barbershop 2: Back in Business
Mariel Hemingway;First Daughter|The Contender|Amerika|Superman IV: The Quest For Peace|Manhattan
John Diehl;Monument Ave.|Gettysburg|Madhouse
Julie Newmar;To Wong Foo, Thanks for Everything! Julie Newmar|Mackenna's Gold
Neil Patrick Harris;Starship Troopers|Harold & Kumar Go to White Castle
Howard St. John;One, Two, Three|One, Two, Three
Alan Young;Mickey's Twice Upon a Christmas|Mickey's Christmas Carol|DuckTales the Movie: Treasure of the Lost Lamp
Elliott Gould;Bob & Carol & Ted & Alice|MASH|Ocean's Twelve
John Rhys-Davies;Cats Don't Dance|Sahara|The Lord of the Rings: The Fellowship of the Ring|The Princess Diaries 2: Royal Engagement|The Princess Diaries|Sabretooth|The Lord of the Rings: The Two Towers|Shogun|The Lord of the Rings: The Return of the King
David Prowse;Star Wars Episode IV: A New Hope|Star Wars Episode V: The Empire Strikes Back|Star Wars Episode VI: Return of the Jedi
Julian Sands;Naked Lunch|Arachnophobia|Gothic|The Killing Fields|Impromptu
Maureen Stapleton;Cocoon: The Return|Cocoon|Addicted to Love
Wayne Allwine;Mickey's Twice Upon a Christmas|Mickey's Christmas Carol
Laurie Metcalf;JFK|Making Mr. Right|Blink
Linda Hamilton;Terminator 2: Judgment Day|Dante's Peak|Mr. Destiny
Laurence Luckinbill;Cocktail|Star Trek V: The Final Frontier
Aino Taube;Face to Face|Face to Face
John DiMaggio;Reign: The Conqueror|Vampire Hunter D: Bloodlust
Bill Hunter;The Adventures of Priscilla, Queen of the Desert|Muriel's Wedding|Gallipoli
Madeline Zima;Mr. Nanny|The Hand That Rocks the Cradle
Kate Winslet;Titanic|Enigma|Sense and Sensibility|Holy Smoke!|All the King's Men|Iris|Hamlet|Jude|A Kid in King Arthur's Court
Kelly Ripa;Delgo|Batman: Mystery of the Batwoman
Ben Daniels;Conspiracy|Doom
Billy Bob Thornton;Armageddon|The Man Who Wasn't There|Monster's Ball|Levity|The Alamo
Jessica Lange;Music Box|Sweet Dreams|Rob Roy|Cape Fear|King Kong|Titus|Country|Normal
Joshua Herdman;Harry Potter and the Half-Blood Prince|Harry Potter and the Philosopher's Stone|Harry Potter and the Chamber of Secrets|Harry Potter and the Order of the Phoenix|Harry Potter and the Goblet of Fire|Harry Potter and the Prisoner of Azkaban
Stanley Tucci;America's Sweethearts|Conspiracy|Shall We Dance?|Robots
Ryo«sei Nakao;Clash!! 10,000,000,000 Powerful Warriors|A Lonesome, Final Battle: The Father of Z-Warrior Son Goku, who Challenged Freeza|Rebirth of Fusion!! Goku and Vegeta!!
Janet Gaynor;Seventh Heaven|Sunrise|State Fair
Charlie Chaplin;Limelight|Modern Times|The Circus|The Kid|Tillie's Punctured Romance
Eleanor Bron;Women in Love|Wimbledon|Bedazzled
Goran Visnjic;Committed|Ice Age|Elektra
James Garner;Boys' Night Out|Twilight|Atlantis: The Lost Empire|Grand Prix|Maverick|Barbarians at the Gate|Murphy's Romance
Craig Sheffer;That Was Then... This Is Now|Blue Desert
Rebecca Romijn;Rollerball|X-Men|X2
Genevive Bujold;Monsignor|Earthquake|Dead Ringers|Obsession|The Adventures of Pinocchio
Sophie Okonedo;Ace Ventura: When Nature Calls|Dirty Pretty Things
Hector Elizondo;The Taking of Pelham One Two Three|The Princess Diaries 2: Royal Engagement|The Princess Diaries|Batman: Mystery of the Batwoman
Sofia Coppola;The Godfather Part III|The Cotton Club|Hearts of Darkness: A Filmmakers's Apocalypse
Uma Thurman;Pulp Fiction|The Avengers|Tape|Kill Bill|The Truth About Cats & Dogs|Batman & Robin
Olivier Martinez;S.W.A.T.|Taking Lives|Unfaithful
Patrick Wilson;The Alamo|The Phantom of the Opera
Camryn Manheim;Happiness|Romy and Michele's High School Reunion
Evelyn Venable;Pinocchio|Pinocchio
Chiwetel Ejiofor;Amistad|Dirty Pretty Things|Serenity
Fionnuala Flanagan;The Others|Caravan of Courage: An Ewok Adventure
Swoosie Kurtz;True Stories|Oliver's Story|The Rules of Attraction|Slap Shot
Michael Rooker;Cliffhanger|JFK|Tombstone|Henry: Portrait Of A Serial Killer
Bill Thompson;Peter Pan|Alice in Wonderland
Lauren Hutton;54|The Gambler
Colm Meaney;Dick Tracy|Into the West|Monument Ave.|Layer Cake|Intermission
Ray Bolger;That's Dancing!|The Wizard of Oz|Babes in Toyland
Don Knotts;The Incredible Mr. Limpet|Chicken Little
Chris;Beethoven's 2nd|Beethoven
Keir Dullea;2001: A Space Odyssey|2010: The Year We Make Contact|P.S. Your Cat Is Dead|Madame X
Ben Bard;Seventh Heaven|Seventh Heaven
Lee Marvin;Donovan's Reef|The Caine Mutiny|The Professionals|Ship of Fools|Point Blank
Julius Harris;Shaft's Big Score|Superfly
Robbie Gee;Underworld|Snatch
Daniel Hugh Kelly;Star Trek: Insurrection|The Good Son
Melissa Joan Hart;Can't Hardly Wait|Batman Beyond: Return of the Joker
Simon Abkarian;Ararat|Casino Royale
Dominique Pinon;Diva|Delicatessen|Alien: Resurrection
Michael Gothard;Lifeforce|The Devils
John C. Reilly;For Love of the Game|What's Eating Gilbert Grape|The Thin Red Line|Magnolia|Hard Eight|Anger Management|Chicago
Mike Pollock;Pokamon: Lucario and the Mystery of Mew|Pokamon: Destiny Deoxys|Pokamon: Jirachi Wishmaker
Elsa Martinelli;Madigan's Millions|Candy
Craig T. Nelson;The Osterman Weekend|The Devil's Advocate|...And Justice for All|The Skulls
Sarah Polley;Exotica|Guinevere|Go|Dawn of the Dead
Debbie Allen;Ragtime|Fame
Doug Savant;Godzilla|First Daughter
Marg Helgenberger;Erin Brockovich|Species|Always|Bad Boys
Powers Boothe;Sin City|Tombstone|Nixon|By Dawn's Early Light|Rapid Fire
Russ Tamblyn;Peyton Place|Samson and Delilah|The Haunting
Jack Thompson;The Club|Original Sin|Breaker Morant|Flesh & Blood
Anne Louise Lambert;The Draughtsman's Contract|Somersault
Monica Bellucci;L'Appartement|Bram Stoker's Dracula|Irreversible
Laura Duke Condominas;Lancelot du Lac|Lancelot du Lac
John Gavin;Psycho|Spartacus
Kohei Miyauchi;Clash!! 10,000,000,000 Powerful Warriors|Dead Zone|Burn Up!! A Close, Intense, Super-Fierce Battle
Lelia Goldoni;Shadows|Alice Doesn't Live Here Anymore
Wallace Ford;The Informer|The Set-Up
James Woods;Hercules|Nixon|Chaplin|Vampires|Casino|Salvador|Contact|Cat's Eye|Final Fantasy: The Spirits Within
Hayden Panettiere;A Bug's Life|Dinosaur
Dominic Purcell;Blade: Trinity|Mission: Impossible II|Equilibrium|Visitors
Steven Seagal;Under Siege 2: Dark Territory|Above the Law|Ticker
Cesar Romero;Vera Cruz|Batman|Madigan's Millions
The Rock Person;Doom|Longshot
Marissa Ribisi;Don's Plum|Dazed and Confused
Ian McDiarmid;Star Wars Episode III: Revenge of the Sith|Sleepy Hollow|Dirty Rotten Scoundrels|Star Wars Episode II: Attack of the Clones|Star Wars Episode V: The Empire Strikes Back|Star Wars Episode VI: Return of the Jedi|Star Wars Episode I: The Phantom Menace
Harvey Atkin;Heavy Metal|Meatballs
Anne Bancroft;The Elephant Man|Jesus of Nazareth|Delgo|The Hindenburg|Point of No Return
Hal Smith;Mickey's Christmas Carol|Beauty and the Beast
Jesse Eisenberg;The Emperor's Club|Cursed
Mena Suvari;Final Fantasy VII: Advent Children|American Beauty|Nowhere|Sugar & Spice|Domino
Jackie Burroughs;Willard|Anne of Green Gables|Heavy Metal
Don Novello;Atlantis: The Lost Empire|Casper|Atlantis: Milo's Return
Danny Aiello;Jacob's Ladder|City Hall|The Protector|Leon
Mia Kirshner;The Crow: City of Angels|Exotica
Colin Hanks;That Thing You Do!|Orange County|Get Over It|King Kong
Karl Malden;How the West Was Won|Patton|I Confess|Kiss of Death|Meteor
Johnathon Schaech;That Thing You Do!|How to Kill Your Neighbor's Dog
Brigitte Bardot;Contempt|And God Created Woman
Conrad Brooks;Ed Wood|Glen or Glenda?
Lin Shaye;Detroit Rock City|There's Something About Mary|Dead End
Daniel Peacock;Robin Hood: Prince of Thieves|Quadrophenia
Gwynyth Walsh;Zenon: Girl of the 21st Century|Star Trek: Generations
Louis Jourdan;Three Coins in the Fountain|The Swan
Greg Germann;Child's Play 2|Down to Earth
Quentin Tarantino;My Best Friend's Birthday|The Muppets' Wizard of Oz|Desperado
Terry O'Quinn;Primal Fear|The X Files|The Stepfather|Heaven's Gate
George Raft;Around the World in Eighty Days|Scarface
